CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
566181;Siirtyminen Excelistä Power BI -raportointiin;3.9.2018;4.9.2018;Online;;Power BI on raportointiratkaisu, joka mahdollistaa tiedon noutamisen eri tietolähteistä, mallintamisen ja raporttien tuottamisen omalle koneelle asennetussa työpöytäsovelluksessa ja jakelun pilvipalvelun kautta raportteja tarvitseville. Tällä kurssilla opit kaiken mitä tarvitset siirtyäksesi perinteisestä Excelistä uuteen Power BI -maailmaan!;True;Productivity;Business Applications;Spreadsheets and Reporting
566799;Siirtyminen Excelistä Power BI -raportointiin;21.1.2019;22.1.2019;Pasila;;Power BI on raportointiratkaisu, joka mahdollistaa tiedon noutamisen eri tietolähteistä, mallintamisen ja raporttien tuottamisen omalle koneelle asennetussa työpöytäsovelluksessa ja jakelun pilvipalvelun kautta raportteja tarvitseville. Tällä kurssilla opit kaiken mitä tarvitset siirtyäksesi perinteisestä Excelistä uuteen Power BI -maailmaan!;True;Productivity;Business Applications;Spreadsheets and Reporting
566800;Siirtyminen Excelistä Power BI -raportointiin;21.1.2019;22.1.2019;Online;;Power BI on raportointiratkaisu, joka mahdollistaa tiedon noutamisen eri tietolähteistä, mallintamisen ja raporttien tuottamisen omalle koneelle asennetussa työpöytäsovelluksessa ja jakelun pilvipalvelun kautta raportteja tarvitseville. Tällä kurssilla opit kaiken mitä tarvitset siirtyäksesi perinteisestä Excelistä uuteen Power BI -maailmaan!;True;Productivity;Business Applications;Spreadsheets and Reporting
566801;Siirtyminen Excelistä Power BI -raportointiin;11.4.2019;12.4.2019;Pasila;;Power BI on raportointiratkaisu, joka mahdollistaa tiedon noutamisen eri tietolähteistä, mallintamisen ja raporttien tuottamisen omalle koneelle asennetussa työpöytäsovelluksessa ja jakelun pilvipalvelun kautta raportteja tarvitseville. Tällä kurssilla opit kaiken mitä tarvitset siirtyäksesi perinteisestä Excelistä uuteen Power BI -maailmaan!;True;Productivity;Business Applications;Spreadsheets and Reporting
566802;Siirtyminen Excelistä Power BI -raportointiin;11.4.2019;12.4.2019;Online;;Power BI on raportointiratkaisu, joka mahdollistaa tiedon noutamisen eri tietolähteistä, mallintamisen ja raporttien tuottamisen omalle koneelle asennetussa työpöytäsovelluksessa ja jakelun pilvipalvelun kautta raportteja tarvitseville. Tällä kurssilla opit kaiken mitä tarvitset siirtyäksesi perinteisestä Excelistä uuteen Power BI -maailmaan!;True;Productivity;Business Applications;Spreadsheets and Reporting
565503;DevOps Fundamentals (DASA);4.9.2018;6.9.2018;Pasila;;DevOps is the future of IT today!;True;Technology;Software Development;Agile
566719;DevOps Fundamentals (DASA);4.3.2019;6.3.2019;Pasila;;DevOps is the future of IT today!;True;Technology;Software Development;Agile
565895;20741 Networking with Windows Server 2016;9.10.2018;12.10.2018;Pasila;PDF;Kurssin käytyäsi voit olla varma toteuttamiesi palveluiden laadusta.;True;Technology;Infra;Server Operating Systems
565896;20741 Networking with Windows Server 2016;9.10.2018;12.10.2018;Online;PDF;Kurssin käytyäsi voit olla varma toteuttamiesi palveluiden laadusta.;True;Technology;Infra;Server Operating Systems
566855;20741 Networking with Windows Server 2016;21.1.2019;24.1.2019;Pasila;PDF;Kurssin käytyäsi voit olla varma toteuttamiesi palveluiden laadusta.;False;Technology;Infra;Server Operating Systems
566856;20741 Networking with Windows Server 2016;21.1.2019;24.1.2019;Online;PDF;Kurssin käytyäsi voit olla varma toteuttamiesi palveluiden laadusta.;False;Technology;Infra;Server Operating Systems
566857;20741 Networking with Windows Server 2016;1.4.2019;4.4.2019;Pasila;PDF;Kurssin käytyäsi voit olla varma toteuttamiesi palveluiden laadusta.;False;Technology;Infra;Server Operating Systems
566858;20741 Networking with Windows Server 2016;1.4.2019;4.4.2019;Online;PDF;Kurssin käytyäsi voit olla varma toteuttamiesi palveluiden laadusta.;False;Technology;Infra;Server Operating Systems
566093;DO408 Automation with Ansible I with exam;3.9.2018;7.9.2018;Pasila;Kirja tai muu tuloste;Learn to write and manage Ansible playbooks and automate system administration tools.;True;Technology;Infra;Red Hat
566092;DO407 Automation with Ansible I;3.9.2018;6.9.2018;Pasila;Kirja tai muu tuloste;Learn to write and manage Ansible playbooks and automate system administration tools;True;Technology;Infra;Red Hat
565437;Angular;5.11.2018;6.11.2018;Pasila;PDF;Tule saamaan hyvä startti Angular -kehitykseen, opettelemaan TypeScript -kieli ja siirry käyttämään uutta versiota suositusta Web Front End -Frameworkista.;True;Technology;Software Development;Web Development
565438;Angular;5.11.2018;6.11.2018;Online;PDF;Tule saamaan hyvä startti Angular -kehitykseen, opettelemaan TypeScript -kieli ja siirry käyttämään uutta versiota suositusta Web Front End -Frameworkista.;True;Technology;Software Development;Web Development
566889;Angular;4.4.2019;5.4.2019;Pasila;PDF;Tule saamaan hyvä startti Angular -kehitykseen, opettelemaan TypeScript -kieli ja siirry käyttämään uutta versiota suositusta Web Front End -Frameworkista.;True;Technology;Software Development;Web Development
566890;Angular;4.4.2019;5.4.2019;Online;PDF;Tule saamaan hyvä startti Angular -kehitykseen, opettelemaan TypeScript -kieli ja siirry käyttämään uutta versiota suositusta Web Front End -Frameworkista.;True;Technology;Software Development;Web Development
565132;20742 Identity with Windows Server 2016 ;18.9.2018;21.9.2018;Pasila;PDF;Perinteinen Active Directory (AD), jota Microsoft kutsuu nimellä Active Directory Domain Services (AD DS), on organisaatioiden tietoverkkojen ja identiteetinhallinnan keskeinen osa. Sen rinnalla ovat yleistyneet federointipalvelu AD FS, varmennepalvelu AD CS sekä digitaalisten oikeuksien hallintapalvelu AD RMS. Pilviteknologioiden yleistymisen myötä myös AD:n identiteettitietoa alkaa olla pilvessä eli Azure AD:ssa.;True;Technology;Infra;Server Operating Systems
565133;20742 Identity with Windows Server 2016 ;18.9.2018;21.9.2018;Online;PDF;Perinteinen Active Directory (AD), jota Microsoft kutsuu nimellä Active Directory Domain Services (AD DS), on organisaatioiden tietoverkkojen ja identiteetinhallinnan keskeinen osa. Sen rinnalla ovat yleistyneet federointipalvelu AD FS, varmennepalvelu AD CS sekä digitaalisten oikeuksien hallintapalvelu AD RMS. Pilviteknologioiden yleistymisen myötä myös AD:n identiteettitietoa alkaa olla pilvessä eli Azure AD:ssa.;True;Technology;Infra;Server Operating Systems
566672;20742 Identity with Windows Server 2016;13.11.2018;16.11.2018;Pasila;PDF;Perinteinen Active Directory (AD), jota Microsoft kutsuu nimellä Active Directory Domain Services (AD DS), on organisaatioiden tietoverkkojen ja identiteetinhallinnan keskeinen osa. Sen rinnalla ovat yleistyneet federointipalvelu AD FS, varmennepalvelu AD CS sekä digitaalisten oikeuksien hallintapalvelu AD RMS. Pilviteknologioiden yleistymisen myötä myös AD:n identiteettitietoa alkaa olla pilvessä eli Azure AD:ssa.;True;Technology;Infra;Server Operating Systems
566673;20742 Identity with Windows Server 2016;13.11.2018;16.11.2018;Online;PDF;Perinteinen Active Directory (AD), jota Microsoft kutsuu nimellä Active Directory Domain Services (AD DS), on organisaatioiden tietoverkkojen ja identiteetinhallinnan keskeinen osa. Sen rinnalla ovat yleistyneet federointipalvelu AD FS, varmennepalvelu AD CS sekä digitaalisten oikeuksien hallintapalvelu AD RMS. Pilviteknologioiden yleistymisen myötä myös AD:n identiteettitietoa alkaa olla pilvessä eli Azure AD:ssa.;True;Technology;Infra;Server Operating Systems
566876;20742 Identity with Windows Server 2016;11.2.2019;14.2.2019;Online;PDF;Perinteinen Active Directory (AD), jota Microsoft kutsuu nimellä Active Directory Domain Services (AD DS), on organisaatioiden tietoverkkojen ja identiteetinhallinnan keskeinen osa. Sen rinnalla ovat yleistyneet federointipalvelu AD FS, varmennepalvelu AD CS sekä digitaalisten oikeuksien hallintapalvelu AD RMS. Pilviteknologioiden yleistymisen myötä myös AD:n identiteettitietoa alkaa olla pilvessä eli Azure AD:ssa.;True;Technology;Infra;Server Operating Systems
566874;20742 Identity with Windows Server 2016;11.2.2019;14.2.2019;Pasila;PDF;Perinteinen Active Directory (AD), jota Microsoft kutsuu nimellä Active Directory Domain Services (AD DS), on organisaatioiden tietoverkkojen ja identiteetinhallinnan keskeinen osa. Sen rinnalla ovat yleistyneet federointipalvelu AD FS, varmennepalvelu AD CS sekä digitaalisten oikeuksien hallintapalvelu AD RMS. Pilviteknologioiden yleistymisen myötä myös AD:n identiteettitietoa alkaa olla pilvessä eli Azure AD:ssa.;True;Technology;Infra;Server Operating Systems
565893;20740 Installation, Storage, and Compute with Windows Server 2016;25.9.2018;28.9.2018;Pasila;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
565894;20740 Installation, Storage, and Compute with Windows Server 2016;25.9.2018;28.9.2018;Online;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566583;20740 Installation, Storage, and Compute with Windows Server 2016;20.11.2018;23.11.2018;Online;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566582;20740 Installation, Storage, and Compute with Windows Server 2016;20.11.2018;23.11.2018;Pasila;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566851;20740 Installation, Storage, and Compute with Windows Server 2016;11.2.2019;14.2.2019;Pasila;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566852;20740 Installation, Storage, and Compute with Windows Server 2016;11.2.2019;14.2.2019;Online;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566853;20740 Installation, Storage, and Compute with Windows Server 2016;6.5.2019;9.5.2019;Pasila;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566854;20740 Installation, Storage, and Compute with Windows Server 2016;6.5.2019;9.5.2019;Online;PDF;Eikö Windows Server 2016 ole vielä tuttu? Aloita tutustuminen nyt tällä kurssilla.;True;Technology;Infra;Server Operating Systems
566117;Azure Active Directory;3.9.2018;4.9.2018;Online;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566116;Azure Active Directory;3.9.2018;4.9.2018;Pasila;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
565445;Azure Active Directory;22.10.2018;23.10.2018;Pasila;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
565446;Azure Active Directory;22.10.2018;23.10.2018;Online;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566903;Azure Active Directory;4.2.2019;5.2.2019;Online;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566904;Azure Active Directory;16.5.2019;17.5.2019;Pasila;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566905;Azure Active Directory;16.5.2019;17.5.2019;Online;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566141;Azure Active Directory;3.12.2018;4.12.2018;Pasila;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566142;Azure Active Directory;3.12.2018;4.12.2018;Online;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566902;Azure Active Directory;4.2.2019;5.2.2019;Pasila;PDF;Active Directoryn pilviversion, Azure Active Directoryn, osaaminen muuttuu jatkuvasti tärkeämmäksi. Eihän osaamisesi ole jäänyt omaan konesaliin?;True;Technology;Infra;Microsoft Cloud-services
566589;20762 Developing SQL Databases;8.10.2018;11.10.2018;Online;PDF;Tällä kurssilla perehdytään SQL Server 2016 tietokannan ja sen eri objektien toteuttamiseen ja ohjelmointiominaisuuksiin. Kurssi soveltuu toki myös aiempien versioiden käyttäjille.;True;Technology;Databases and Analytics;Database Administration
566588;20762 Developing SQL Databases;8.10.2018;11.10.2018;Pasila;PDF;Tällä kurssilla perehdytään SQL Server 2016 tietokannan ja sen eri objektien toteuttamiseen ja ohjelmointiominaisuuksiin. Kurssi soveltuu toki myös aiempien versioiden käyttäjille.;True;Technology;Databases and Analytics;Database Administration
566879;20767 Implementing a SQL Data Warehouse;11.3.2019;14.3.2019;Pasila;PDF;Tällä kurssilla perehdytään tietovaraston rakentamiseen SQL Server 2016:lla OnPrem- ja Azure-ympäristössä, ETL-prosessin toteuttamiseen Integration Servicellä, Temporal-taulujen hyödyntämiseen, tietojen puhdistamiseen Data Quality Servicellä, sekä organisaation ydintiedon hallintaan Master Data Servicellä.;False;Technology;Databases and Analytics;Database Administration
566880;20767 Implementing a SQL Data Warehouse;11.3.2019;14.3.2019;Online;PDF;Tällä kurssilla perehdytään tietovaraston rakentamiseen SQL Server 2016:lla OnPrem- ja Azure-ympäristössä, ETL-prosessin toteuttamiseen Integration Servicellä, Temporal-taulujen hyödyntämiseen, tietojen puhdistamiseen Data Quality Servicellä, sekä organisaation ydintiedon hallintaan Master Data Servicellä.;False;Technology;Databases and Analytics;Database Administration
566049;20767 Implementing a SQL Data Warehouse;10.12.2018;13.12.2018;Pasila;PDF;Tällä kurssilla perehdytään tietovaraston rakentamiseen SQL Server 2016:lla OnPrem- ja Azure-ympäristössä, ETL-prosessin toteuttamiseen Integration Servicellä, Temporal-taulujen hyödyntämiseen, tietojen puhdistamiseen Data Quality Servicellä, sekä organisaation ydintiedon hallintaan Master Data Servicellä.;False;Technology;Databases and Analytics;Database Administration
566050;20767 Implementing a SQL Data Warehouse;10.12.2018;13.12.2018;Online;PDF;Tällä kurssilla perehdytään tietovaraston rakentamiseen SQL Server 2016:lla OnPrem- ja Azure-ympäristössä, ETL-prosessin toteuttamiseen Integration Servicellä, Temporal-taulujen hyödyntämiseen, tietojen puhdistamiseen Data Quality Servicellä, sekä organisaation ydintiedon hallintaan Master Data Servicellä.;False;Technology;Databases and Analytics;Database Administration
565195;10987 Performance Tuning and Optimizing SQL Databases;5.9.2018;7.9.2018;Pasila;PDF;Tämä kurssi toimii jatkokurssina SQL Server perusteet osaaville. Kurssi syventää SQL Serverin osaamista perehdyttämällä osallistujat laajasti palvelimen edistyneisiin optimointitekniikkoihin.;True;Technology;Databases and Analytics;Database Administration
565196;10987 Performance Tuning and Optimizing SQL Databases;5.9.2018;7.9.2018;Online;PDF;Tämä kurssi toimii jatkokurssina SQL Server perusteet osaaville. Kurssi syventää SQL Serverin osaamista perehdyttämällä osallistujat laajasti palvelimen edistyneisiin optimointitekniikkoihin.;True;Technology;Databases and Analytics;Database Administration
565197;10987 Performance Tuning and Optimizing SQL Databases;7.11.2018;9.11.2018;Pasila;PDF;Tämä kurssi toimii jatkokurssina SQL Server perusteet osaaville. Kurssi syventää SQL Serverin osaamista perehdyttämällä osallistujat laajasti palvelimen edistyneisiin optimointitekniikkoihin.;True;Technology;Databases and Analytics;Database Administration
565198;10987 Performance Tuning and Optimizing SQL Databases;7.11.2018;9.11.2018;Online;PDF;Tämä kurssi toimii jatkokurssina SQL Server perusteet osaaville. Kurssi syventää SQL Serverin osaamista perehdyttämällä osallistujat laajasti palvelimen edistyneisiin optimointitekniikkoihin.;True;Technology;Databases and Analytics;Database Administration
566830;10987 Performance Tuning and Optimizing SQL Databases;18.3.2019;20.3.2019;Pasila;PDF;Tämä kurssi toimii jatkokurssina SQL Server perusteet osaaville. Kurssi syventää SQL Serverin osaamista perehdyttämällä osallistujat laajasti palvelimen edistyneisiin optimointitekniikkoihin.;True;Technology;Databases and Analytics;Database Administration
566831;10987 Performance Tuning and Optimizing SQL Databases;18.3.2019;20.3.2019;Online;PDF;Tämä kurssi toimii jatkokurssina SQL Server perusteet osaaville. Kurssi syventää SQL Serverin osaamista perehdyttämällä osallistujat laajasti palvelimen edistyneisiin optimointitekniikkoihin.;True;Technology;Databases and Analytics;Database Administration
565909;20764 Administering a SQL Database Infrastructure;25.9.2018;28.9.2018;Pasila;PDF;SQL Server -palvelimen arkkitehtuurin tunteminen ja hallinnan osaaminen on olennainen osa sen tehokasta ja turvallista käyttöä. Tämä kurssi antaa hyvät tiedot ja taidot SQL Serverin ylläpitoon.;True;Technology;Databases and Analytics;Database Administration
565910;20764 Administering a SQL Database Infrastructure;25.9.2018;28.9.2018;Online;PDF;SQL Server -palvelimen arkkitehtuurin tunteminen ja hallinnan osaaminen on olennainen osa sen tehokasta ja turvallista käyttöä. Tämä kurssi antaa hyvät tiedot ja taidot SQL Serverin ylläpitoon.;True;Technology;Databases and Analytics;Database Administration
566590;20764 Administering a SQL Database Infrastructure;6.11.2018;9.11.2018;Pasila;PDF;SQL Server -palvelimen arkkitehtuurin tunteminen ja hallinnan osaaminen on olennainen osa sen tehokasta ja turvallista käyttöä. Tämä kurssi antaa hyvät tiedot ja taidot SQL Serverin ylläpitoon.;True;Technology;Databases and Analytics;Database Administration
566591;20764 Administering a SQL Database Infrastructure;6.11.2018;9.11.2018;Online;PDF;SQL Server -palvelimen arkkitehtuurin tunteminen ja hallinnan osaaminen on olennainen osa sen tehokasta ja turvallista käyttöä. Tämä kurssi antaa hyvät tiedot ja taidot SQL Serverin ylläpitoon.;True;Technology;Databases and Analytics;Database Administration
565127;10986 Updating Your Skills to SQL Server 2016;3.9.2018;4.9.2018;Pasila;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
565128;10986 Updating Your Skills to SQL Server 2016;3.9.2018;4.9.2018;Online;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
565215;10986 Updating Your Skills to SQL Server 2016;2.10.2018;3.10.2018;Pasila;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
565216;10986 Updating Your Skills to SQL Server 2016;2.10.2018;3.10.2018;Online;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566828;10986 Updating Your Skills to SQL Server 2016;28.3.2019;29.3.2019;Pasila;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566829;10986 Updating Your Skills to SQL Server 2016;28.3.2019;29.3.2019;Online;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566826;10986 Updating Your Skills to SQL Server 2016;14.1.2019;15.1.2019;Pasila;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566827;10986 Updating Your Skills to SQL Server 2016;14.1.2019;15.1.2019;Online;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566487;10986 Updating Your Skills to SQL Server 2016;15.10.2018;16.10.2018;Pasila;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566488;10986 Updating Your Skills to SQL Server 2016;15.10.2018;16.10.2018;Online;PDF;Olisiko aika päivittää versio!;True;Technology;Databases and Analytics;Database Administration
566080;CL110 Red Hat OpenStack Administration I;19.11.2018;23.11.2018;Pasila;Kirja tai muu tuloste;Introduction to Red Hat OpenStack Platform and the deployment of virtual cloud servers and applications;True;Technology;Infra;Red Hat
566654;DO281 Red Hat OpenShift Administration I with exam;15.10.2018;18.10.2018;Pasila;Kirja tai muu tuloste;Learn to install, configure, and manage containers;True
566088;DO280 Red Hat OpenShift Administration I;15.10.2018;17.10.2018;Pasila;Kirja tai muu tuloste;Create, configure, manage, and troubleshoot OpenShift clusters;True;Technology;Infra;Red Hat
566652;DO280 Red Hat OpenShift Administration I;15.10.2018;17.10.2018;Pasila;Kirja tai muu tuloste;Create, configure, manage, and troubleshoot OpenShift clusters;True;Technology;Infra;Red Hat
566089;DO280 Red Hat OpenShift Administration I;17.12.2018;19.12.2018;Pasila;Kirja tai muu tuloste;Create, configure, manage, and troubleshoot OpenShift clusters;True;Technology;Infra;Red Hat
566653;DO280 Red Hat OpenShift Administration I;17.12.2018;19.12.2018;Pasila;Kirja tai muu tuloste;Create, configure, manage, and troubleshoot OpenShift clusters;True;Technology;Infra;Red Hat
565626;Oracle Database 12c: RAC and Data Guard Integration Workshop;19.11.2018;23.11.2018;Pasila;PDF;In the Oracle Database 12c: RAC and Data Guard Integration Workshop, you’ll learn how to practice deploying, configuring, administering, maintaining, and using noteworthy features associated with Oracle Database 12c RAC and Data Guard.;True;Technology;Databases and Analytics;Oracle-courses
566260;Windows 10 -käyttökurssi IT-ammattilaiselle;15.11.2018;15.11.2018;Pasila;;Osaatko käyttää Windows 10:tä hyvin, osaatko ratkaista käyttäjien ongelmia ja neuvoa heitä? Osallistu koulutukseen ja hanki taidot, joilla Windows 10:n käyttö tukee sujuvaa työntekoa.;True;Productivity;Business Applications
566261;Windows 10 -käyttökurssi IT-ammattilaiselle;15.11.2018;15.11.2018;Online;;Osaatko käyttää Windows 10:tä hyvin, osaatko ratkaista käyttäjien ongelmia ja neuvoa heitä? Osallistu koulutukseen ja hanki taidot, joilla Windows 10:n käyttö tukee sujuvaa työntekoa.;True;Productivity;Business Applications
565719;Professional Python;27.9.2018;28.9.2018;Pasila;PDF;Pythonia ihan oikeasti ja kunnolla. Professional Python ja sinustakin Pythonin ammattilainen, tule oppimaan.;True;Technology;Software Development;Other Software Development
565720;Professional Python;27.9.2018;28.9.2018;Online;PDF;Pythonia ihan oikeasti ja kunnolla. Professional Python ja sinustakin Pythonin ammattilainen, tule oppimaan.;True;Technology;Software Development;Other Software Development
565716;Python-ohjelmointi;15.10.2018;17.10.2018;Online;PDF;Ota haltuun Python, ohjelmointikieli, jonka usein kysytyissä kysymyksissä yksi vastauksista on: "Monty Pythonista ei ole pakko pitää, mutta se auttaa.";True;Technology;Software Development;Other Software Development
565715;Python-ohjelmointi;15.10.2018;17.10.2018;Pasila;PDF;Ota haltuun Python, ohjelmointikieli, jonka usein kysytyissä kysymyksissä yksi vastauksista on: "Monty Pythonista ei ole pakko pitää, mutta se auttaa.";True;Technology;Software Development;Other Software Development
566797;Python-ohjelmointi;12.11.2018;14.11.2018;Pasila;PDF;Ota haltuun Python, ohjelmointikieli, jonka usein kysytyissä kysymyksissä yksi vastauksista on: "Monty Pythonista ei ole pakko pitää, mutta se auttaa.";True;Technology;Software Development;Other Software Development
566798;Python-ohjelmointi;12.11.2018;14.11.2018;Online;PDF;Ota haltuun Python, ohjelmointikieli, jonka usein kysytyissä kysymyksissä yksi vastauksista on: "Monty Pythonista ei ole pakko pitää, mutta se auttaa.";True;Technology;Software Development;Other Software Development
565717;Python-ohjelmointi;17.12.2018;19.12.2018;Pasila;PDF;Ota haltuun Python, ohjelmointikieli, jonka usein kysytyissä kysymyksissä yksi vastauksista on: "Monty Pythonista ei ole pakko pitää, mutta se auttaa.";True;Technology;Software Development;Other Software Development
565718;Python-ohjelmointi;17.12.2018;19.12.2018;Online;PDF;Ota haltuun Python, ohjelmointikieli, jonka usein kysytyissä kysymyksissä yksi vastauksista on: "Monty Pythonista ei ole pakko pitää, mutta se auttaa.";True;Technology;Software Development;Other Software Development
565598;20345-2 Designing and Deploying Exchange Server 2016/2013;10.9.2018;12.9.2018;Pasila;PDF;Exchange-käyttöönotto tai -päivitys vaatii eri osa-alueiden oikeanlaisen suunnittelun. Tehokkaimmin uuden tuotteen tai version käyttöönoton opit tällä kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
565599;20345-2 Designing and Deploying Exchange Server 2016/2013;10.9.2018;12.9.2018;Online;PDF;Exchange-käyttöönotto tai -päivitys vaatii eri osa-alueiden oikeanlaisen suunnittelun. Tehokkaimmin uuden tuotteen tai version käyttöönoton opit tällä kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
566592;20345-2 Designing and Deploying Exchange Server 2016/2013;7.11.2018;9.11.2018;Pasila;PDF;Exchange-käyttöönotto tai -päivitys vaatii eri osa-alueiden oikeanlaisen suunnittelun. Tehokkaimmin uuden tuotteen tai version käyttöönoton opit tällä kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
566593;20345-2 Designing and Deploying Exchange Server 2016/2013;7.11.2018;9.11.2018;Online;PDF;Exchange-käyttöönotto tai -päivitys vaatii eri osa-alueiden oikeanlaisen suunnittelun. Tehokkaimmin uuden tuotteen tai version käyttöönoton opit tällä kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
566872;20345-2 Designing and Deploying Exchange Server 2016/2013;17.12.2018;19.12.2018;Pasila;PDF;Exchange-käyttöönotto tai -päivitys vaatii eri osa-alueiden oikeanlaisen suunnittelun. Tehokkaimmin uuden tuotteen tai version käyttöönoton opit tällä kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
566873;20345-2 Designing and Deploying Exchange Server 2016/2013;17.12.2018;19.12.2018;Online;PDF;Exchange-käyttöönotto tai -päivitys vaatii eri osa-alueiden oikeanlaisen suunnittelun. Tehokkaimmin uuden tuotteen tai version käyttöönoton opit tällä kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
566870;20345-1 Administering Exchange Server 2016/2013;3.12.2018;5.12.2018;Pasila;PDF;Tule katsomaan miltä Exchange 2016 (ja 2013) näyttää ja opettele niiden salat. Tehokkaimmin uuden tuotteen käyttöönoton oppii kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
566871;20345-1 Administering Exchange Server 2016/2013;3.12.2018;5.12.2018;Online;PDF;Tule katsomaan miltä Exchange 2016 (ja 2013) näyttää ja opettele niiden salat. Tehokkaimmin uuden tuotteen käyttöönoton oppii kurssilla.;True;Technology;Infra;Exchange, Skype and Sharepoint
565884;20743 Upgrading Your Skills to MCSA Windows Server 2016;30.10.2018;2.11.2018;Pasila;PDF;Windows Server 2016 tuli jo, oletko valmis? Ilmoittaudu heti ja ole ensimmäisten joukossa kuulemassa Windows Server 2016 mukanaan tuomista uusista ominaisuuksista.;False;Technology;Infra;Server Operating Systems
565885;20743 Upgrading Your Skills to MCSA Windows Server 2016;30.10.2018;2.11.2018;Online;PDF;Windows Server 2016 tuli jo, oletko valmis? Ilmoittaudu heti ja ole ensimmäisten joukossa kuulemassa Windows Server 2016 mukanaan tuomista uusista ominaisuuksista.;False;Technology;Infra;Server Operating Systems
567070;20697-1 MOD+DMOC Installing and Configuring Windows 10;24.9.2018;24.9.2018;MOD;PDF;This course is designed to provide students with the knowledge and skills required to install and configure Windows 10 desktops and devices in a Windows Server domain corporate environment.;True;Technology;MOC On-Demand
